table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,8,"$25,000 under $30,000",16,181173976000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,9,"$30,000 under $40,000",17,445172100000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,10,"$40,000 under $50,000",18,456243382000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,11,"$50,000 under $75,000",19,1063075172000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,12,"$75,000 under $100,000",20,933327679000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,13,"$100,000 under $200,000",21,2355845184000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,14,"$200,000 under $500,000",22,1713498524000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,15,"$500,000 under $1,000,000",23,593531858000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,16,"$1,000,000 under $1,500,000",24,202146931000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,17,"$1,500,000 under $2,000,000",25,104008030000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,18,"$2,000,000 under $5,000,000",26,220575715000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,19,"$5,000,000 under $10,000,000",27,108085376000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,20,"$10,000,000 or more",28,217002426000.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,1,"All returns, total",9,48990485.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,2,No adjusted gross income,10,565509.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,3,"$1 under $5,000",11,1715167.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,4,"$5,000 under $10,000",12,1132747.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,5,"$10,000 under $15,000",13,1414387.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,6,"$15,000 under $20,000",14,1435178.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,7,"$20,000 under $25,000",15,1439606.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,8,"$25,000 under $30,000",16,1470320.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,9,"$30,000 under $40,000",17,2801612.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,10,"$40,000 under $50,000",18,2917116.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,11,"$50,000 under $75,000",19,6685822.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,12,"$75,000 under $100,000",20,5884358.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,13,"$100,000 under $200,000",21,12805970.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,14,"$200,000 under $500,000",22,6484175.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,15,"$500,000 under $1,000,000",23,1408417.0
