varname,count,scope,fstatus,agilo,agihi,description
c02500,0,1,0,1000000.0,9e+99,c02500 amount $1000K+
e01400,0,1,0,50000.0,75000.0,IRA distributions amount $50K-$75K
e01400,0,1,0,75000.0,100000.0,IRA distributions amount $75K-$100K
e01400,0,1,0,100000.0,200000.0,IRA distributions amount $100K-$200K
e01400,0,1,0,200000.0,500000.0,IRA distributions amount $200K-$500K
e01400,0,1,0,500000.0,1000000.0,IRA distributions amount $500K-$1000K
e01400,0,1,0,1000000.0,9e+99,IRA distributions amount $1000K+
capgains_net,0,1,0,50000.0,75000.0,capgains_net amount $50K-$75K
capgains_net,0,1,0,75000.0,100000.0,capgains_net amount $75K-$100K
capgains_net,0,1,0,100000.0,200000.0,capgains_net amount $100K-$200K
capgains_net,0,1,0,200000.0,500000.0,capgains_net amount $200K-$500K
capgains_net,0,1,0,500000.0,1000000.0,capgains_net amount $500K-$1000K
capgains_net,0,1,0,1000000.0,9e+99,capgains_net amount $1000K+
e00600,0,1,0,50000.0,75000.0,e00600 amount $50K-$75K
e00600,0,1,0,75000.0,100000.0,e00600 amount $75K-$100K
e00600,0,1,0,100000.0,200000.0,e00600 amount $100K-$200K
e00600,0,1,0,200000.0,500000.0,e00600 amount $200K-$500K
e00600,0,1,0,500000.0,1000000.0,e00600 amount $500K-$1000K
e00600,0,1,0,1000000.0,9e+99,e00600 amount $1000K+
e00900,0,1,0,50000.0,75000.0,Business income amount $50K-$75K
e00900,0,1,0,75000.0,100000.0,Business income amount $75K-$100K
e00900,0,1,0,100000.0,200000.0,Business income amount $100K-$200K
e00900,0,1,0,200000.0,500000.0,Business income amount $200K-$500K
e00900,0,1,0,500000.0,1000000.0,Business income amount $500K-$1000K
e00900,0,1,0,1000000.0,9e+99,Business income amount $1000K+
c19200,0,1,0,50000.0,75000.0,c19200 amount $50K-$75K
c19200,0,1,0,75000.0,100000.0,c19200 amount $75K-$100K
c19200,0,1,0,100000.0,200000.0,c19200 amount $100K-$200K
c19200,0,1,0,200000.0,500000.0,c19200 amount $200K-$500K
c19200,0,1,0,500000.0,1000000.0,c19200 amount $500K-$1000K
c19200,0,1,0,1000000.0,9e+99,c19200 amount $1000K+
c19700,0,1,0,50000.0,75000.0,c19700 amount $50K-$75K
c19700,0,1,0,75000.0,100000.0,c19700 amount $75K-$100K
c19700,0,1,0,100000.0,200000.0,c19700 amount $100K-$200K
c19700,0,1,0,200000.0,500000.0,c19700 amount $200K-$500K
c19700,0,1,0,500000.0,1000000.0,c19700 amount $500K-$1000K
c19700,0,1,0,1000000.0,9e+99,c19700 amount $1000K+
e18400,0,1,0,50000.0,75000.0,SALT income/sales amount $50K-$75K
e18400,0,1,0,75000.0,100000.0,SALT income/sales amount $75K-$100K
e18400,0,1,0,100000.0,200000.0,SALT income/sales amount $100K-$200K
e18400,0,1,0,200000.0,500000.0,SALT income/sales amount $200K-$500K
e18400,0,1,0,500000.0,1000000.0,SALT income/sales amount $500K-$1000K
e18400,0,1,0,1000000.0,9e+99,SALT income/sales amount $1000K+
e18500,0,1,0,50000.0,75000.0,SALT real estate amount $50K-$75K
e18500,0,1,0,75000.0,100000.0,SALT real estate amount $75K-$100K
e18500,0,1,0,100000.0,200000.0,SALT real estate amount $100K-$200K
e18500,0,1,0,200000.0,500000.0,SALT real estate amount $200K-$500K
e18500,0,1,0,500000.0,1000000.0,SALT real estate amount $500K-$1000K
e18500,0,1,0,1000000.0,9e+99,SALT real estate amount $1000K+
eitc,0,1,0,-9e+99,9e+99,EITC amount all bins
eitc,2,1,0,-9e+99,9e+99,EITC nz-count all bins
ctc_total,0,1,0,-9e+99,9e+99,Child tax credit amount all bins
ctc_total,2,1,0,-9e+99,9e+99,Child tax credit nz-count all bins
